date, pm25, pm10, o3, so2, co
2023/11/2, 65, 19, 143, 2, 
2023/11/3, 63, , , 5, 
2023/11/10, 44, , , 2, 
2023/10/2, 54, 23, 24, 3, 
2023/10/3, 51, 26, 23, 2, 
2023/10/4, 47, 27, 27, 3, 
2023/10/5, 51, 31, 27, 2, 
2023/10/6, 48, 27, 24, 2, 
2023/10/7, 54, 25, 25, 2, 
2023/10/8, 42, 27, 27, 4, 
2023/10/9, 49, 27, 28, 2, 
2023/10/10, 47, 30, 22, 2, 
2023/10/11, 49, 31, 27, 2, 
2023/10/12, 49, 39, 30, 3, 
2023/10/13, 56, 40, 28, 2, 
2023/10/14, 55, 37, 31, 2, 
2023/10/15, 52, 26, 28, 2, 
2023/10/16, 46, 29, 24, 2, 
2023/10/17, 39, 40, 38, 2, 
2023/10/18, 55, 35, 47, 2, 
2023/10/19, 54, 38, 27, 5, 
2023/10/20, 57, 49, 29, 3, 
2023/10/21, 72, 33, 17, 2, 
2023/10/22, 67, 34, 15, 2, 
2023/10/23, 70, 27, 15, 2, 
2023/10/24, 61, , , 3, 
2023/7/2, 120, 33, 12, 2, 
2023/7/3, 94, 57, 13, 3, 
2023/7/4, 135, 49, 12, 2, 
2023/7/5, 107, 54, 8, 2, 
2023/7/6, 120, 53, 12, 2, 
2023/7/7, 110, 42, 7, 2, 
2023/7/8, 103, 27, 14, 3, 
2023/7/9, 77, 20, 16, 3, 
2023/7/10, 64, 34, 9, 2, 
2023/7/11, 85, 54, 16, 2, 
2023/7/12, 140, 23, 17, 5, 
2023/7/13, 70, 31, 8, 3, 
2023/7/14, 81, 38, 8, 3, 
2023/7/15, 100, 32, 8, 3, 
2023/7/16, 91, 31, 6, 3, 
2023/7/17, 89, 73, 13, 2, 
2023/7/18, 148, 72, 4, 3, 
2023/7/19, 155, 71, 8, 3, 
2023/7/20, 134, 68, 11, 3, 
2023/7/21, 144, 24, 16, 3, 
2023/7/22, 72, 18, 20, 2, 
2023/7/23, 55, 27, 10, 2, 
2023/7/24, 82, 53, 11, 2, 
2023/7/25, 118, 48, 4, 3, 
2023/7/26, 123, 25, 11, 3, 
2023/7/27, 69, 31, 7, 2, 
2023/7/28, 86, 46, 6, 3, 
2023/7/29, 109, 44, 15, 3, 
2023/7/30, 119, 42, 7, 3, 
2023/7/31, 115, 47, 16, 3, 
2023/8/1, 113, 34, 12, 3, 
2023/8/2, 84, 31, 13, 2, 
2023/8/3, 71, 29, 9, 2, 
2023/8/4, 73, 49, 12, 3, 
2023/8/5, 110, 45, 13, 3, 
2023/8/6, 116, 37, 19, 3, 
2023/8/7, 101, 46, 8, 3, 
2023/8/8, 103, 55, 16, 4, 
2023/8/9, 119, 61, 8, 4, 
2023/8/10, 141, 34, 18, 4, 
2023/8/11, 76, 23, 17, 3, 
2023/8/12, 62, 24, 16, 5, 
2023/8/13, 69, 37, 19, 4, 
2023/8/14, 97, 44, 13, 2, 
2023/8/15, 92, 31, 10, 2, 
2023/8/16, 85, 33, 9, 3, 
2023/8/17, 86, 29, 16, 4, 
2023/8/18, 77, 33, 13, 4, 
