date, pm25, pm10, so2
2023/11/2, 37, 30, 1
2023/11/3, 41, 37, 1
2023/11/4, 50, 29, 1
2023/11/5, 45, 24, 1
2023/11/6, 41, 26, 1
2023/11/7, 36, 22, 1
2023/11/8, 30, 30, 1
2023/11/9, 38, 32, 
2023/11/10, 38, 37, 
2023/11/11, 37, 22, 
2023/11/12, 36, 25, 
2023/11/13, 29, 34, 
2023/11/14, 34, 28, 
2023/11/15, 35, , 
2023/10/2, 52, 25, 1
2023/10/3, 42, 21, 
2023/10/4, 38, 28, 1
2023/10/5, 41, 24, 1
2023/10/6, 42, 22, 2
2023/10/7, 23, 16, 
2023/10/8, 27, 26, 
2023/10/9, 44, 28, 
2023/10/10, 45, 24, 
2023/10/11, 43, 27, 
2023/10/12, 41, 29, 
2023/10/13, 49, 29, 
2023/10/14, 54, 25, 
2023/10/15, 49, 23, 
2023/10/16, 47, 26, 
2023/10/17, 50, 31, 
2023/10/18, 56, 31, 
2023/10/19, 45, 31, 1
2023/10/20, 43, 32, 1
2023/10/21, 50, 25, 1
2023/10/22, 40, 27, 1
2023/10/23, 40, 30, 1
2023/10/24, 44, , 
2023/7/2, 58, 42, 1
2023/7/3, 60, 45, 1
2023/7/4, 63, 40, 1
2023/7/5, 55, 37, 1
2023/7/6, 53, 42, 1
2023/7/7, 53, 38, 1
2023/7/8, 55, 28, 1
2023/7/9, 40, 25, 1
2023/7/10, 39, 32, 1
2023/7/11, 42, 27, 1
2023/7/12, 38, 37, 1
2023/7/13, 42, 42, 1
2023/7/14, 53, 40, 1
2023/7/15, 58, 35, 1
2023/7/16, 54, 33, 1
2023/7/17, 60, 35, 1
2023/7/18, 56, 37, 1
2023/7/19, 53, 43, 1
2023/7/20, 70, 41, 
2023/7/21, 68, 35, 1
2023/7/22, 62, 33, 1
2023/7/23, 49, 29, 1
2023/7/24, 50, 28, 1
2023/7/25, 39, 22, 7
2023/7/26, 41, 30, 1
2023/7/27, 42, 25, 1
2023/7/28, 36, 31, 1
2023/7/29, 46, 28, 1
2023/7/30, 46, 34, 1
2023/7/31, 52, 41, 1
2023/8/1, 62, 33, 1
2023/8/2, 54, 37, 
2023/8/3, 54, 33, 1
2023/8/4, 59, 36, 1
2023/8/5, 62, 33, 1
2023/8/6, 60, 34, 1
2023/8/7, 55, 35, 1
2023/8/8, 49, 30, 1
2023/8/9, 45, 28, 
2023/8/10, 50, 27, 1
2023/8/11, 45, 37, 1
2023/8/12, 53, 32, 1
2023/8/13, 50, 27, 1
2023/8/14, 48, 26, 1
2023/8/15, 44, 25, 1
2023/8/16, 42, 31, 
2023/8/17, 48, 30, 
2023/8/18, 45, 30, 1
2023/8/19, 43, 45, 1
2023/8/20, 56, 34, 1
2023/8/21, 57, 35, 1
2023/8/22, 54, 38, 1
