date, pm25, pm10, o3, no2, so2, co
2023/11/2, 53, 30, 25, 12, 7, 10
2023/11/3, 51, 29, 25, 10, 4, 8
2023/11/4, 49, 27, 25, 10, 5, 9
2023/11/5, 51, 29, 25, 15, 6, 9
2023/11/6, 52, 34, 25, 14, 10, 9
2023/11/7, 55, 28, 20, 11, 7, 9
2023/11/8, 47, 25, 42, 8, 7, 9
2023/11/9, 43, 22, 18, 1, 7, 10
2023/11/10, 40, 32, 19, 8, 8, 10
2023/11/11, 43, 28, 19, 6, 9, 10
2023/11/12, 47, 82, 21, 3, 9, 10
2023/11/13, 48, , 21, 11, 11, 10
2023/11/14, 55, 42, 22, 9, 15, 22
2023/11/15, 87, , , , , 
2023/10/25, 51, 41, , 20, 5, 6
2023/10/26, 56, 24, , 11, 4, 6
2023/10/27, 44, 43, , 15, 4, 7
2023/10/28, 58, , , , , 
2023/10/31, 53, 40, , 15, 4, 8
2023/11/1, 64, 27, , 9, 4, 8
2023/7/2, 19, 27, 14, , , 3
2023/7/3, 20, 71, 15, 3, 1, 6
2023/7/4, 86, 34, 14, 6, , 2
2023/7/5, 42, 38, 1, 2, , 1
2023/7/6, 47, 106, 2, 2, , 1
2023/7/7, 50, 41, 20, 2, , 1
2023/7/8, 43, 28, 22, 2, , 
2023/7/9, 30, 29, 26, 3, 1, 1
2023/7/10, 36, 33, 23, 5, 5, 2
2023/7/11, 41, 35, 71, 3, 7, 6
2023/7/12, 36, 30, 17, 7, 6, 3
2023/7/13, 19, 34, 21, 3, 5, 4
2023/7/14, 26, 29, 20, 1, 6, 3
2023/7/15, 23, 26, 19, 3, 6, 3
2023/7/16, 23, 28, 22, 1, 5, 3
2023/7/17, 39, 40, 25, 2, 6, 3
2023/7/18, 50, 47, 26, 6, 7, 6
2023/7/19, 52, 35, 21, 2, , 6
2023/7/20, 37, 29, 20, 4, , 6
2023/7/21, 32, , , , , 
2023/7/25, 23, 27, 19, 9, , 6
2023/7/26, 23, 34, 22, 4, 1, 6
2023/7/27, 28, 28, 23, 4, , 6
2023/7/28, 30, 29, 23, 4, 3, 11
2023/7/29, 36, 28, 22, 3, , 6
2023/7/30, 36, 29, 22, 2, 1, 6
2023/7/31, 37, 40, 20, 3, 1, 6
